,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
0,0,2015-06-01,198.940002,202.630005,197.580002,201.559998,201.559998,2409400
1,1,2015-06-02,199.679993,203.369995,199.350006,203.360001,203.360001,2305300
2,2,2015-06-03,203.0,206.5,201.059998,203.880005,203.880005,2891400
3,3,2015-06-04,202.929993,204.5,201.0,204.330002,204.330002,2789500
4,4,2015-06-05,203.669998,209.259995,203.160004,205.889999,205.889999,2993200
5,5,2015-06-08,206.800003,207.889999,201.820007,203.149994,203.149994,2435300
6,6,2015-06-09,201.970001,203.850006,200.690002,202.559998,202.559998,2180400
7,7,2015-06-10,202.770004,206.710007,202.429993,204.630005,204.630005,2524100
8,8,2015-06-11,204.889999,208.0,204.889999,206.770004,206.770004,2208300
9,9,2015-06-12,206.850006,209.839996,206.070007,207.600006,207.600006,2562700
10,10,2015-06-15,204.110001,205.919998,202.550003,205.729996,205.729996,1385500
11,11,2015-06-16,204.0,206.690002,203.699997,205.0,205.0,1686000
12,12,2015-06-17,207.899994,211.360001,207.710007,209.509995,209.509995,4281800
13,13,2015-06-18,209.889999,210.77999900000003,208.020004,210.699997,210.699997,1998100
14,14,2015-06-19,211.559998,212.149994,209.520004,210.869995,210.869995,2539200
15,15,2015-06-22,212.5,214.220001,209.130005,209.639999,209.639999,1991400
16,16,2015-06-23,211.0,212.160004,208.809998,211.979996,211.979996,1894100
17,17,2015-06-24,211.889999,212.330002,209.119995,210.320007,210.320007,1658000
18,18,2015-06-25,209.440002,210.490005,207.199997,207.550003,207.550003,1652900
19,19,2015-06-26,205.0,206.320007,202.75,203.360001,203.360001,3064100
20,20,2015-06-29,199.929993,202.990005,198.199997,200.5,200.5,2411600
21,21,2015-06-30,203.589996,204.330002,198.889999,199.080002,199.080002,2516000
22,22,2015-07-01,200.589996,200.669998,196.070007,198.710007,198.710007,2883200
23,23,2015-07-02,198.360001,198.779999,195.350006,197.029999,197.029999,1817300
24,24,2015-07-06,193.0,194.070007,188.020004,189.029999,189.029999,4576600
25,25,2015-07-07,185.289993,188.600006,180.539993,187.539993,187.539993,6249200
26,26,2015-07-08,179.529999,187.399994,178.809998,184.580002,184.580002,6451100
27,27,2015-07-09,192.699997,192.979996,187.179993,187.570007,187.570007,5391600
28,28,2015-07-10,191.289993,191.5,187.690002,187.75,187.75,3043400
29,29,2015-07-13,189.899994,194.830002,188.080002,193.270004,193.270004,4051100
30,30,2015-07-14,193.270004,194.460007,191.220001,191.279999,191.279999,1773200
31,31,2015-07-15,189.910004,190.710007,185.75,186.580002,186.580002,4048500
32,32,2015-07-16,189.020004,190.660004,187.830002,190.100006,190.100006,2345400
33,33,2015-07-17,194.679993,200.800003,194.380005,198.440002,198.440002,5829500
34,34,2015-07-20,199.550003,201.639999,197.229996,199.610001,199.610001,2896500
35,35,2015-07-21,199.490005,203.479996,198.229996,202.399994,202.399994,2580100
36,36,2015-07-22,201.660004,206.839996,200.520004,205.740005,205.740005,3418300
37,37,2015-07-23,207.320007,209.75,206.5,207.630005,207.630005,3469000
38,38,2015-07-24,209.910004,210.0,205.25,206.25,206.25,3450200
39,39,2015-07-27,197.850006,199.940002,195.110001,197.679993,197.679993,9580200
40,40,2015-07-28,172.600006,172.809998,162.0,168.029999,168.029999,27423400
41,41,2015-07-29,169.199997,170.240005,167.139999,170.009995,170.009995,8317600
42,42,2015-07-30,172.5,175.679993,171.339996,174.470001,174.470001,7029000
43,43,2015-07-31,174.5,175.75,172.509995,172.660004,172.660004,4180800
44,44,2015-08-03,170.820007,171.669998,166.100006,169.139999,169.139999,5375900
45,45,2015-08-04,168.600006,170.449997,167.779999,170.320007,170.320007,2620000
46,46,2015-08-05,171.679993,173.759995,171.300003,172.740005,172.740005,3260900
47,47,2015-08-06,172.699997,176.229996,172.559998,174.46000700000005,174.46000700000005,4397300
48,48,2015-08-07,175.21000700000005,177.220001,173.75,176.080002,176.080002,3942300
49,49,2015-08-10,177.830002,179.059998,175.0,176.850006,176.850006,3055400
50,50,2015-08-11,173.690002,174.03999299999995,166.309998,167.940002,167.940002,5257500
51,51,2015-08-12,164.520004,164.729996,156.800003,160.820007,160.820007,10247600
52,52,2015-08-13,162.660004,163.699997,160.050003,160.889999,160.889999,4683600
53,53,2015-08-14,160.800003,166.240005,160.53999299999995,164.240005,164.240005,5062300
54,54,2015-08-17,163.550003,167.949997,163.509995,167.429993,167.429993,3359700
55,55,2015-08-18,164.059998,168.509995,163.759995,166.110001,166.110001,4112000
56,56,2015-08-19,165.100006,165.679993,160.270004,162.889999,162.889999,5767300
57,57,2015-08-20,160.410004,161.240005,157.199997,157.399994,157.399994,5381700
58,58,2015-08-21,154.449997,157.990005,152.759995,152.910004,152.910004,6364900
59,59,2015-08-24,125.150002,145.380005,100.0,141.080002,141.080002,11160600
60,60,2015-08-25,149.699997,153.179993,135.610001,136.990005,136.990005,8449600
61,61,2015-08-26,139.899994,143.330002,136.059998,142.399994,142.399994,8315600
62,62,2015-08-27,147.25,152.979996,147.110001,152.059998,152.059998,5880100
63,63,2015-08-28,150.169998,153.759995,150.0,152.130005,152.130005,3983800
64,64,2015-08-31,152.440002,153.339996,146.100006,147.25,147.25,3381100
65,65,2015-09-01,142.929993,147.429993,142.699997,143.570007,143.570007,4561900
66,66,2015-09-02,146.059998,148.160004,143.759995,148.149994,148.149994,1946200
67,67,2015-09-03,149.0,149.639999,146.270004,149.080002,149.080002,2983700
68,68,2015-09-04,146.21000700000005,147.690002,144.149994,146.0,146.0,3378900
69,69,2015-09-08,151.339996,152.869995,146.029999,148.179993,148.179993,4899800
70,70,2015-09-09,150.25,153.419998,149.009995,150.110001,150.110001,2878300
71,71,2015-09-10,149.199997,149.860001,145.800003,146.75,146.75,3710300
72,72,2015-09-11,146.619995,146.619995,142.520004,144.029999,144.029999,4924400
73,73,2015-09-14,143.919998,143.979996,140.020004,141.270004,141.270004,3794500
74,74,2015-09-15,140.0,144.059998,139.100006,141.399994,141.399994,4437600
75,75,2015-09-16,144.699997,151.449997,144.149994,150.350006,150.350006,4838100
76,76,2015-09-17,149.100006,151.28999299999995,146.649994,147.059998,147.059998,5176600
