名称,价格,月销量,评价数,店铺所在地,适合肤质,产地,补水保湿,美白提亮,控油祛痘,清洁毛孔,提拉紧致
奥洛菲,153.45,9,12,浙江,任何肤质,中国,1,0,0,0,0
奥洛菲,129,166,9564,浙江,任何肤质,中国,1,1,1,1,0
奥洛菲,74.9,489,265,浙江,任何肤质,中国,1,1,1,1,1
奥洛菲,69,45,80,浙江,任何肤质,中国,1,1,1,1,0
奥洛菲,18.7,476,2658,浙江,任何肤质,中国,1,0,1,0,0
澳雅婷,365,471,11160,广东,任何肤质,中国,1,1,0,0,0
澳雅婷,349.5,96,1410,广东,任何肤质,中国,1,1,1,0,0
巴黎欧莱雅,126.95,1914,4091,江苏,任何肤质,中国,1,1,0,0,0
百年丽人,249,276,336,湖北,任何肤质,中国,1,1,0,0,1
百年丽人,169,30,443,湖北,油性及混合性肤质,中国,1,0,1,1,0
百雀羚,83,11,104,安徽,任何肤质,中国,1,1,0,0,1
百雀羚,209,82,777,江苏,任何肤质,中国,1,1,0,0,0
百雀羚,149,49,2011,江苏,任何肤质,中国,1,1,0,0,0
百雀羚,139,1185,2004,江苏,中性及干性肤质,中国,1,1,0,0,0
百雀羚,159,43,578,山东,任何肤质,中国,1,0,1,0,0
百雀羚,328.5,84,2131,上海,任何肤质,中国,1,1,0,1,0
百雀羚,227.5,5523,83941,上海,任何肤质,中国,1,1,0,0,0
百雀羚,99,703,1359,上海,任何肤质,中国,1,0,0,0,0
百雀羚,59,331,2917,上海,任何肤质,中国,1,0,1,1,0
百雀羚,43,61,290,上海,油性及混合性肤质,中国,1,0,1,0,0
百雀羚,120.35,4056,12926,四川,任何肤质,中国,1,0,0,1,1
百雀羚,286.5,54,406,浙江,任何肤质,中国,1,0,0,0,1
百雀羚,89.9,91,36,浙江,任何肤质,中国,1,0,0,0,0
百雀羚,36.5,22,33,浙江,任何肤质,中国,1,1,0,0,0
百雀羚,138,70,13849,浙江,任何肤质,中国,1,1,1,1,0
百雀羚 ,129,242,3174,安徽,任何肤质,中国,1,1,1,1,1
百雀羚 ,79,778,6138,北京,任何肤质,中国,1,0,1,1,0
百雀羚 ,287,120,1717,河南,任何肤质,中国,1,1,0,0,0
百雀羚 ,255,55,286,江苏,任何肤质,中国,1,0,0,0,0
百雀羚 ,165.5,196,1645,江苏,任何肤质,中国,1,0,1,1,0
百雀羚 ,148,16,252,江苏,敏感性肤质,中国,1,0,0,0,0
百雀羚 ,338,84,460,上海,任何肤质,中国,1,0,0,1,0
百雀羚 ,252.9,705,9450,上海,油性及混合性肤质,中国,1,1,1,1,0
百雀羚 ,249.5,6,16,上海,任何肤质,中国,1,0,0,0,0
百雀羚 ,209,16,145,上海,任何肤质,中国,0,1,0,0,0
百雀羚 ,199,233,2065,上海,任何肤质,中国,1,1,0,0,0
百雀羚 ,149,3294,13097,上海,任何肤质,中国,1,1,0,0,0
百雀羚 ,463.5,947,2927,天津,任何肤质,中国,1,1,0,0,1
百雀羚 ,93,228,26583,浙江,任何肤质,中国,1,1,1,1,1
百雀羚 ,108.5,766,2839,浙江,任何肤质,中国,1,0,0,0,0
百雀羚 ,99,4500,22513,浙江,任何肤质,中国,1,1,0,1,0
百雀羚 ,332,256,1386,重庆,任何肤质,中国,1,0,1,0,1
佰草集,192,1377,6306,江苏,任何肤质,中国,1,1,0,0,0
柏卡姿,158.5,88,594,上海,任何肤质,中国,1,1,1,0,1
柏氏 ,213.5,42,386,安徽,敏感性肤质,中国,1,1,1,1,0
柏氏 ,199,843,39416,安徽,任何肤质,中国,1,0,0,1,0
柏氏 ,184,22,2012,安徽,任何肤质,中国,1,1,1,1,0
柏氏 ,19.89,19869,13287,安徽,任何肤质,中国,1,1,1,1,1
柏氏 ,122.5,81,323,北京,中性及干性肤质,中国,1,1,0,1,0
柏氏 ,69.45,160,10175,北京,任何肤质,中国,1,0,0,1,1
柏氏 ,660,1880,15561,广东,任何肤质,中国,1,0,0,1,0
柏氏 ,228,88,7026,广东,任何肤质,中国,1,1,0,0,0
柏氏 ,212.5,169,1271,广东,任何肤质,中国,1,0,0,0,0
柏氏 ,159,48,140,广东,任何肤质,中国,1,1,0,0,0
柏氏 ,157,53,628,广东,任何肤质,中国,1,1,0,0,0
柏氏 ,155,2442,3723,广东,任何肤质,中国,1,1,1,1,0
柏氏 ,138,5,115,广东,任何肤质,中国,1,1,1,1,0
柏氏 ,127,299,7537,广东,干性肤质,中国,1,1,0,1,0
柏氏 ,121.5,40,404,广东,任何肤质,中国,1,1,1,1,0
柏氏 ,112,222,386,广东,任何肤质,中国,1,0,0,0,0
柏氏 ,99,30,903,广东,任何肤质,中国,1,1,0,0,0
柏氏 ,39,24126,305572,广东,任何肤质,中国,1,1,0,1,1
柏氏 ,149,491,2671,山东,任何肤质,中国,1,0,0,0,0
柏氏 ,190,149,52,上海,任何肤质,中国,1,0,0,0,0
柏氏 ,169,126,1248,四川,任何肤质,中国,1,0,0,1,1
柏氏 ,294,5,36,天津,任何肤质,中国,1,1,0,0,1
柏氏 ,170.5,18,135,天津,任何肤质,中国,1,0,0,0,0
柏氏 ,127,78,3804,天津,中性及干性肤质,中国,1,1,0,1,0
柏姿丹,138,69,2036,辽宁,油性及混合性肤质,中国,1,0,1,1,0
宝罗丝丹,239,4078,51616,福建,任何肤质,中国,1,1,1,1,1
比度克,190.5,78,155,广东,任何肤质,中国,1,0,1,1,0
比度克,99.9,250,637,广东,任何肤质,中国,1,0,1,1,1
冰菊,219,1082,6167,广东,任何肤质,中国,1,0,1,1,1
冰美人,128.5,914,20912,河南,任何肤质,中国,1,1,1,1,0
冰美人,122.5,83,3697,上海,任何肤质,中国,1,1,1,1,0
波斯顿,259,186,12546,上海,任何肤质,中国,1,1,0,0,0
泊泉雅,299,101,8099,广东,任何肤质,中国,1,1,0,1,1
泊泉雅,233,3526,74702,广东,任何肤质,中国,1,1,0,0,0
泊泉雅,226.5,25794,311884,广东,任何肤质,中国,1,1,1,1,0
泊泉雅,218,214,5567,广东,混合型肤质,中国,1,0,1,1,0
泊泉雅,198,1653,30425,广东,任何肤质,中国,1,1,1,1,0
泊泉雅,161.5,559,3952,广东,任何肤质,中国,1,1,0,0,0
泊泉雅,156,24,1396,广东,任何肤质,中国,1,1,1,1,1
泊泉雅,96,22,435,广东,任何肤质,中国,1,1,1,0,0
泊泉雅,94,1913,2299,广东,任何肤质,中国,1,1,0,1,0
泊泉雅,79,3744,83367,广东,任何肤质,中国,1,1,1,0,0
泊泉雅,21.8,42,616,广东,任何肤质,中国,1,0,0,0,0
博生能,147,23,3067,安徽,任何肤质,中国,1,0,0,0,0
采萃,288,429,19595,广东,任何肤质,中国,1,0,0,0,0
采萃,153.5,673,3316,广东,任何肤质,中国,1,0,1,1,0
参棘,220,49,536,内蒙古,任何肤质,中国,1,1,0,0,1
草木之心,336,41,10,浙江,油性及混合性肤质,美国,1,0,0,1,1
草木之心,129,45,2411,浙江,任何肤质,中国,1,1,0,0,0
草木之心,59.9,131,31,浙江,任何肤质,中国,1,1,0,0,1
草木之心,199,354,210,浙江,任何肤质,中国,0,1,0,0,0
婵真,159.9,1250,21008,上海,任何肤质,中国,1,0,0,0,0
婵姿,178.5,21,2206,广东,任何肤质,中国,1,1,0,0,0
春纪,216,14,91,安徽,中性及干性肤质,中国,1,0,0,1,0
春纪,168,108,94,安徽,任何肤质,中国,1,1,0,1,1
春纪,112.5,191,1962,安徽,任何肤质,中国,1,0,0,1,1
春纪,155,565,1890,北京,混合型肤质,中国,1,1,1,1,0
春纪,141,1964,6889,北京,任何肤质,中国,1,1,1,1,0
春纪,720,18,80,广东,任何肤质,中国,1,1,0,0,1
春纪,338,2238,2624,广东,任何肤质,中国,1,0,1,0,1
春纪,256,20,639,广东,任何肤质,中国,1,0,1,1,1
春纪,250.5,1926,4055,广东,任何肤质,中国,1,1,0,0,0
春纪,192,168,7950,广东,任何肤质,中国,1,1,1,0,0
春纪,28.95,576,322,广东,任何肤质,中国,1,1,0,0,0
春纪,374,15871,40356,河南,任何肤质,中国,1,1,0,0,0
春纪,352.45,31,5166,河南,任何肤质,中国,0,1,0,1,0
春纪,259,35,26,河南,任何肤质,英国,1,0,1,0,0
春纪,254,76,1845,河南,任何肤质,中国,1,1,1,1,1
