date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020/10/30,246.95,250,244.35,243.27,239489.52,-5.65,-2.26,240.088,239.774,235.129,212581.3,178778.63,171686.17,0.63
2020/10/29,238.8,253.77,250,238.49,349627.47,10.02,4.17,238.544,239.027,233.727,191587.94,166665.43,167894.32,0.92
2020/10/28,235,242,239.98,233.42,170762.3,6.48,2.77,236.892,237.918,232.193,151745.66,142878.77,163002.69,0.45
2020/10/27,233.01,235.35,233.5,230.7,143026.81,0.89,0.38,237.25,237.86,231.339,145008.58,144121.91,160510.26,0.38
2020/10/26,230,234.59,232.61,223,160000.39,-4.02,-1.7,238.746,238.737,230.909,152395.88,147010.28,159873.15,0.42
2020/10/23,240.79,242.24,236.63,236.3,134522.73,-5.11,-2.11,239.46,239.651,230.754,144975.97,163465.95,161380.96,0.35
2020/10/22,242,242.99,241.74,236.68,150416.06,-0.03,-0.01,239.51,238.745,230.055,141742.92,170907.06,166055.63,0.4
2020/10/21,240.98,243.7,241.77,239.69,137076.91,0.79,0.33,238.944,236.671,229.269,134011.88,172099.64,167761.71,0.36
2020/10/20,236,241,240.98,235,179963.31,4.8,2.03,238.47,234.467,228.697,143235.25,168364.05,166926.13,0.47
2020/10/19,240,241.6,236.18,234.6,122900.83,-0.7,-0.3,238.728,232.382,228.152,141624.69,165632.14,168302.58,0.32
2020/10/16,238.9,240.82,236.88,235.24,118357.5,-2.03,-0.85,239.842,230.484,227.737,181955.93,164593.71,172392.57,0.31
2020/10/15,239.51,240.5,238.91,238.34,111760.87,-0.49,-0.2,237.98,228.426,227.053,200071.2,169123.2,178051.76,0.29
2020/10/14,241.79,244.33,239.4,238.18,183193.72,-2.87,-1.19,234.398,226.467,225.958,210187.4,183126.6,183816.78,0.48
2020/10/13,241.75,244.6,242.27,238.84,171910.52,0.52,0.21,230.464,224.817,225.084,193492.85,176898.6,192511.36,0.45
2020/10/12,229,242.01,241.75,229,324557.03,14.18,6.23,226.036,223.08,224.315,189639.59,172736.02,195727.16,0.86
2020/10/9,225,229.55,227.57,223.29,208933.88,6.57,2.97,221.126,221.857,223.739,147231.49,159295.96,198045.34,0.55
2020/9/30,221,225,221,220.1,162341.84,1.27,0.58,218.872,221.365,224.292,138175.19,161204.21,201383.44,0.43
2020/9/29,222,222.8,219.73,218.77,99720.97,-0.4,-0.18,218.536,221.867,224.992,156065.8,163423.77,203082.91,0.26
2020/9/28,218.34,222.85,220.13,218,152644.25,2.93,1.35,219.17,222.927,225.818,160304.35,165488.22,213140.37,0.4
2020/9/25,217.01,219.44,217.2,216.37,112516.53,0.9,0.42,220.124,223.922,226.811,155832.44,170973.01,221293.91,0.3
2020/9/24,218.08,221.37,216.3,215.88,163652.38,-3.02,-1.38,222.588,224.99,227.976,171360.43,180191.42,232030.16,0.43
2020/9/23,216.6,221.49,219.32,212.46,251794.88,-3.58,-1.61,223.858,225.68,229.065,184233.22,186980.31,234521.97,0.66
2020/9/22,222.46,226.77,222.9,222,120913.7,-2,-0.89,225.198,225.448,229.932,170781.74,184506.96,235037.22,0.32
2020/9/21,228,229.55,224.9,224.47,130284.69,-4.62,-2.01,226.684,225.351,230.567,170672.09,208124.12,243265.48,0.34
2020/9/18,222.65,229.52,229.52,220.82,190156.5,6.87,3.09,227.72,225.55,230.572,186113.58,218718.31,248327.35,0.5
2020/9/17,222.06,226,222.65,218.9,228016.31,-3.37,-1.49,227.392,225.62,230.016,189022.41,236794.72,246685.46,0.6
