date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020/10/30,237.52,238.49,225.12,223.5,70003.27,-5.48,-2.38,218.298,214.767,211.534,59711.12,50727.45,43475.5,0.81
2020/10/29,223.48,234.69,230.6,221.44,80334.81,7.1,3.18,214.874,213.849,210.19,53061.62,47304.12,41969.11,0.93
2020/10/28,209.86,227.78,223.5,207.38,68358.63,14.73,7.06,211.312,212.961,208.576,45681.97,41541.76,40790.53,0.79
2020/10/27,203.51,209.2,208.77,202.87,37249.13,5.27,2.59,209.242,212.746,207.23,37917.45,39244.14,38989.88,0.43
2020/10/26,194.72,205.76,203.5,193.5,42609.74,-4.5,-2.16,210.288,213.799,206.706,39209.86,40288.89,38684.5,0.49
2020/10/23,212.77,213,208,205.01,36755.81,-4.79,-2.25,211.236,215.104,206.478,41743.78,43523,39259.7,0.42
2020/10/22,213.97,214.88,212.79,205.98,43436.53,-0.36,-0.17,212.824,214.278,205.967,41546.61,43294.91,40761.08,0.5
2020/10/21,215,215.5,213.15,210.17,29536.05,-0.85,-0.4,214.61,212.818,205.727,37401.55,41580.94,40664.46,0.34
2020/10/20,207.69,214.91,214,206.75,43711.15,5.76,2.77,216.25,211.171,205.562,40570.83,40548.44,41120.2,0.5
2020/10/19,218.94,219.46,208.24,206.01,55279.37,-7.7,-3.57,217.31,209.431,205.442,41367.93,39356.77,42253.58,0.64
2020/10/16,223.8,224.93,215.94,215.5,35769.97,-5.78,-2.61,218.972,208.301,205.531,45302.22,36223.55,43077.7,0.41
2020/10/15,221.79,224.98,221.72,218.8,22711.2,0.37,0.17,215.732,206.531,204.568,45043.2,36634.1,44370.78,0.26
2020/10/14,221.19,226.6,221.35,219.32,45382.44,2.05,0.94,211.026,204.19,202.886,45760.33,40039.31,45619.14,0.52
2020/10/13,216.7,222.58,219.3,216.7,47696.67,2.75,1.27,206.092,201.714,201.215,40526.05,38735.61,45660.66,0.55
2020/10/12,199.74,219.5,216.55,199.74,74950.81,16.81,8.42,201.552,199.613,199.762,37345.6,37080.12,45977.2,0.87
2020/10/9,201.05,204.05,199.74,198,34474.89,1.55,0.78,197.63,197.851,198.629,27144.89,34996.39,45636.18,0.4
2020/9/30,195.99,200.6,198.19,195.99,26296.86,1.51,0.77,197.33,197.656,198.542,28225,38227.26,46440.83,0.3
2020/9/29,198.61,199.49,196.68,195.5,19211.02,0.08,0.04,197.354,198.636,198.442,34318.28,39747.98,47438.6,0.22
2020/9/28,196.9,200.9,196.6,195.05,31794.43,-0.34,-0.17,197.336,199.953,198.358,36945.17,41691.95,49847.72,0.37
2020/9/25,200,201.5,196.94,196.5,23947.25,-1.3,-0.66,197.674,201.453,198.389,36814.63,45150.39,51466.39,0.28
2020/9/24,198,201.65,198.24,197.2,39875.46,-0.07,-0.04,198.072,202.761,198.211,42847.9,49931.85,53793.67,0.46
2020/9/23,191.62,199.9,198.31,185.81,56763.26,1.72,0.88,197.982,202.604,197.822,48229.51,52107.45,54203.35,0.66
2020/9/22,197.5,200.97,196.59,196.01,32345.46,-1.7,-0.86,199.918,201.581,197.312,45177.68,51198.96,54179.62,0.37
2020/9/21,198.5,199.68,198.29,193.67,31141.71,-0.64,-0.32,202.57,200.715,196.81,46438.73,52585.71,56485.59,0.36
2020/9/18,196.42,201.58,198.93,192.7,54113.6,1.14,0.58,205.232,199.911,195.785,53486.16,54874.29,57711.61,0.62
2020/9/17,204.92,207.19,197.79,196.16,66783.5,-10.2,-4.9,207.45,199.406,194.445,57015.81,56275.96,56833.52,0.77
2020/9/16,211,214.1,207.99,206.49,41504.11,-1.86,-0.89,207.226,199.428,192.908,55985.39,54654.41,54989.15,0.48
2020/9/15,209.99,211.54,209.85,207,38650.74,-1.75,-0.83,203.244,198.247,191.08,57220.25,55129.22,54758.18,0.45
2020/9/14,211,213.01,211.6,206.35,66378.85,1.58,0.75,198.86,196.762,189.214,58732.69,58003.48,54724.21,0.77
2020/9/11,195.3,211,210.02,195.3,71761.83,13.35,6.79,194.59,195.324,187.209,56262.41,57782.38,53919.57,0.83
2020/9/10,192.5,198.88,196.67,192.5,61631.44,8.59,4.57,191.362,193.66,185.053,55536.12,57655.49,52622.73,0.71
2020/9/9,186,191.5,188.08,184,47678.37,0.15,0.08,191.63,193.04,183.337,53323.42,56299.24,51393.89,0.55
2020/9/8,190.17,193.93,187.93,185.23,46212.98,-2.32,-1.22,193.25,193.042,182,53038.18,57160.28,51483.49,0.53
2020/9/7,192,195.88,190.25,189.36,54027.44,-3.63,-1.87,194.664,192.905,180.914,57274.27,60385.47,51252.63,0.62
2020/9/4,193,195,193.88,186.82,68130.36,-4.13,-2.09,196.058,191.659,179.745,59302.34,60548.93,50840.53,0.79
2020/9/3,196.07,201.93,198.01,195.02,50567.96,1.83,0.93,195.958,189.483,178.413,59774.86,57391.07,50799.13,0.58
2020/9/2,195.01,197.9,196.18,192,46252.18,1.18,0.6,194.45,186.388,177.02,59275.06,55323.9,52094.73,0.53
2020/9/1,196,196,195,188,67393.4,-2.22,-1.13,192.834,183.913,176.112,61282.37,54387.14,51846.56,0.78
2020/8/31,195.6,202.18,197.22,192.03,64167.81,3.84,1.99,191.146,181.665,175.291,63496.68,51444.95,50908.23,0.74
2020/8/28,188.95,200,193.38,188,70492.97,2.91,1.53,187.26,179.093,174.431,61795.51,50056.77,49882.83,0.81
2020/8/27,186.44,191.8,190.47,183.66,48068.94,2.37,1.26,183.008,176.445,173.779,55007.28,47589.97,48634.14,0.56
2020/8/26,187.9,192.86,188.1,184.88,56288.71,1.54,0.82,178.326,173.634,173.21,51372.74,46488.54,49119.15,0.65
2020/8/25,179,190,186.56,179,78464.95,8.77,4.93,174.992,170.958,172.505,47491.92,45806.71,49480.59,0.91
2020/8/24,172.9,178.08,177.79,172.25,55661.97,5.67,3.29,172.184,168.923,171.877,39393.22,42119.79,49235.01,0.64
2020/8/21,167.07,174.4,172.12,167.07,36551.82,5.06,3.03,170.926,167.831,171.18,38318.03,41132.14,48568.11,0.42
2020/8/20,170.7,170.7,167.06,166,29896.24,-4.37,-2.55,169.882,167.343,170.718,40172.67,44207.19,49994.38,0.35
2020/8/19,171.2,175.06,171.43,169.6,36884.61,-1.09,-0.63,168.942,167.652,170.84,41604.34,48865.56,50968.18,0.43
2020/8/18,171.01,175.15,172.52,168.22,37971.45,1.02,0.59,166.924,168.311,170.609,44121.5,49305.98,51688.42,0.44
2020/8/17,167.99,173.98,171.5,167.32,50286.03,4.6,2.76,165.662,168.917,169.931,44846.37,50371.51,52400.68,0.58
2020/8/14,162.25,167.88,166.9,161.4,45825,4.54,2.8,164.736,169.768,168.996,43946.25,49708.89,53762.56,0.53
2020/8/13,162.01,165.4,162.36,159.98,37054.59,1.02,0.63,164.804,171.112,168.479,48241.7,49678.31,54750.12,0.43
2020/8/12,166.3,166.5,161.34,157.1,49470.43,-4.87,-2.93,166.362,172.785,168.19,56126.78,51749.77,57971.53,0.57
2020/8/11,166.67,171.46,166.21,165.5,41595.8,-0.66,-0.4,169.698,174.051,168.822,54490.45,53154.48,58748.6,0.48
2020/8/10,167.4,168.34,166.87,161.5,45785.45,-0.37,-0.22,172.172,174.83,168.79,55896.64,56350.23,59463.82,0.53
2020/8/7,169.9,171.2,167.24,162.13,67302.25,-2.91,-1.71,174.8,174.529,168.645,55471.53,56004.08,60694.33,0.78
2020/8/6,177.9,178.12,170.15,168,76479.99,-7.87,-4.42,177.42,174.093,168.003,51114.92,55781.58,60421.25,0.88
2020/8/5,177,179,178.02,174,41288.76,-0.56,-0.31,179.208,174.028,167.055,47372.75,53070.8,59830.32,0.48
2020/8/4,180.05,183.2,178.58,177.5,48626.75,-1.43,-0.79,178.404,172.906,165.643,51818.51,54070.86,60503.56,0.56
2020/8/3,182,182.55,180.01,177.07,43659.89,-0.33,-0.18,177.488,170.945,164.316,56803.83,54429.86,63157.08,0.5
2020/7/31,178.92,181.5,180.34,175,45519.21,1.25,0.7,174.258,168.224,162.671,56536.63,57816.22,65670.56,0.53
2020/7/30,172.8,183.6,179.09,171.99,57769.16,5.09,2.92,170.766,165.845,161.031,60448.25,59821.93,67006.36,0.67
2020/7/29,174.5,175,174,167.85,63517.54,0,0,168.848,163.594,159.654,58768.85,64193.29,67595.85,0.73
2020/7/28,162.84,174,174,162.84,73553.33,10.14,6.19,167.408,163.592,158.517,56323.21,64342.73,67440.94,0.85
2020/7/27,161.02,165.88,163.86,160.99,42323.89,0.98,0.6,164.402,162.75,157.067,52055.9,62577.41,66105.49,0.49
2020/7/24,168.8,168.8,162.88,159.99,65077.32,-6.62,-3.91,162.19,162.76,156.062,59095.82,65384.58,66803.9,0.75
2020/7/23,165,170,169.5,164.01,49372.19,2.7,1.62,160.924,161.912,154.827,59195.62,65060.91,65741.24,0.57
2020/7/22,158,168.88,166.8,156.2,51289.32,7.83,4.92,158.34,160.082,153.277,69617.72,66589.83,66012.53,0.59
2020/7/21,152.4,161.98,158.97,151.5,52216.76,6.17,4.04,159.776,158.379,151.727,72362.24,66936.26,65496.46,0.6
2020/7/20,156.55,157.9,152.8,145.02,77523.5,-3.75,-2.4,161.098,157.687,150.67,73098.92,71884.3,66069.22,0.9
2020/7/17,153.52,161.4,156.55,150.1,65576.33,-0.03,-0.02,163.33,157.117,149.699,71673.34,73524.91,63545.51,0.76
2020/7/16,171.51,172.8,156.58,156.58,101482.68,-17.4,-10,162.9,156.217,148.54,70926.21,74190.79,61932.17,1.17
2020/7/15,164.53,174.06,173.98,164.5,65011.94,8.4,5.07,161.824,155.713,147.411,63561.95,70998.41,58906.17,0.75
2020/7/14,163.28,166.61,165.58,160.17,55900.16,1.62,0.99,156.982,153.441,145.378,61510.28,70539.16,57832.45,0.65
2020/7/13,154.41,165.3,163.96,152.65,70395.57,9.56,6.19,154.276,151.383,143.864,70669.67,69633.57,57276.11,0.81
2020/7/10,151.2,156.5,154.4,149.77,61840.68,3.2,2.12,150.904,149.364,142.365,75376.48,68223.23,56029.72,0.71
2020/7/9,149.95,152,151.2,149.28,64661.38,1.43,0.95,149.534,147.742,141.402,77455.37,66421.56,54533.58,0.75
2020/7/8,149.84,151.81,149.77,148.05,54753.62,-2.28,-1.5,149.602,146.472,140.591,78434.87,65435.23,52985.32,0.63
2020/7/7,147,153.4,152.05,144.5,101697.12,4.95,3.37,149.9,145.075,139.871,79568.04,64056.66,52627.38,1.17
2020/7/6,147,148.68,147.1,143.5,93929.59,-0.45,-0.3,148.49,143.652,138.999,68597.46,60254.14,49371.09,1.08
2020/7/3,150,150.8,147.55,141.56,72235.12,-3.99,-2.63,147.824,142.281,138.303,61069.99,53566.11,46885.04,0.83
2020/7/2,151.31,155,151.54,148.12,69558.91,0.28,0.18,145.95,140.862,137.424,55387.75,49673.56,45336.49,0.8
2020/7/1,144.34,154.8,151.26,144.25,60419.45,6.26,4.32,143.342,139.108,136.343,52435.59,46813.93,44913.02,0.7
2020/6/30,143.77,147.56,145,143,46844.22,1.23,0.86,140.25,137.314,135.373,48545.28,45125.74,44750.2,0.54
2020/6/29,138.5,144.7,143.77,137.6,56292.23,5.59,4.04,138.814,136.344,134.528,51910.82,44918.66,44627.28,0.65
2020/6/26,139.3,141.5,138.18,137,43823.94,-0.32,-0.23,136.738,135.365,133.565,46062.23,43836.2,45486.93,0.51
2020/6/24,135.87,139.65,138.5,135.8,54798.1,2.7,1.99,135.774,135.061,132.767,43959.37,42645.6,45392.72,0.63
2020/6/23,137.61,138.2,135.8,135.3,40967.93,-2.02,-1.47,134.874,134.71,131.986,41192.28,40535.42,44674.82,0.47
2020/6/22,132.47,139.94,137.82,132.13,63671.88,5.33,4.02,134.378,134.667,131.293,41706.2,41198.1,44930.81,0.74
2020/6/19,133.95,134.77,133.39,132.2,27049.3,0.03,0.02,133.874,134.345,130.297,37926.51,38488.05,44331.34,0.31
2020/6/18,134.3,135,133.36,132,33309.62,-0.64,-0.48,133.992,134.324,129.725,41610.18,40203.98,44996.17,0.38
2020/6/17,133.91,135.7,134,133.17,40962.65,0.68,0.51,134.348,133.985,129.063,41331.84,40999.42,45425.65,0.47
2020/6/16,136,136,133.32,131.5,43537.55,-1.98,-1.46,134.546,133.578,128.388,39878.55,43012.11,45860.05,0.5
2020/6/15,131.47,136.37,135.3,130.36,44773.42,1.32,0.98,134.956,133.431,127.686,40690.01,44374.65,46794.07,0.52
2020/6/12,135,135.88,133.98,132.02,45467.65,-1.16,-0.86,134.816,132.712,126.68,39049.6,44335.91,46492.12,0.53
2020/6/11,134.51,135.9,135.14,134,31917.92,0.15,0.11,134.656,131.764,125.818,38797.78,47137.65,45907.23,0.37
2020/6/10,134.5,135.93,134.99,134,33696.23,-0.38,-0.28,133.622,130.472,124.924,40667.01,48139.85,47484.88,0.39
2020/6/9,134.67,137,135.37,132.85,47594.82,0.77,0.57,132.61,129.261,123.739,46145.67,48814.22,48435.61,0.55
