date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020/10/30,1678,1696,1670.02,1665,26055.45,-5.98,-0.36,1655.766,1690.299,1693.576,42005.09,31766.06,28198.52,0.21
2020/10/29,1654.84,1708,1676,1647,39373.76,11.19,0.67,1664.828,1694.497,1691.541,40652.33,30898.25,28398.28,0.31
2020/10/28,1626,1677,1664.81,1625.08,34636.53,39.81,2.45,1678.128,1699.397,1690.24,37273.76,28581.31,28215.87,0.28
2020/10/27,1643,1644,1625,1616.12,43944.4,-18,-1.1,1691.832,1705.816,1690.284,34126.72,27165.8,27647.32,0.35
2020/10/26,1619,1662.92,1643,1600,66015.29,-72.33,-4.22,1713.632,1717.216,1692.374,30884.83,25065.75,26572.3,0.53
2020/10/23,1740.78,1747.59,1715.33,1714,19291.69,-27.17,-1.56,1724.832,1727.977,1694.974,21527.04,22837.12,25631.61,0.15
2020/10/22,1730,1745,1742.5,1715.51,22480.87,9.17,0.53,1724.166,1726.044,1692.733,21144.17,24331.94,27851.01,0.18
2020/10/21,1734.1,1742.15,1733.33,1723,18901.37,-0.67,-0.04,1720.666,1718.644,1691.863,19888.87,24792.64,27852.77,0.15
2020/10/20,1699.99,1734.97,1734,1695,27734.93,35,2.06,1719.8,1710.541,1693.197,20204.88,24645.58,27948.75,0.22
2020/10/19,1725,1733.98,1699,1691.9,19226.32,-13,-0.76,1720.8,1703.241,1694.797,19246.67,24295.31,28114.8,0.15
2020/10/16,1725,1734.58,1712,1703,17377.38,-13,-0.75,1731.122,1696.852,1696.497,24147.21,24630.97,28707.88,0.14
2020/10/15,1721.13,1735,1725,1721,16204.36,-4,-0.23,1727.922,1688.584,1696.187,27519.71,25898.31,29077.93,0.13
2020/10/14,1740,1746.98,1729,1726,20481.39,-10,-0.57,1716.622,1681.082,1694.337,29696.4,27850.43,29565.89,0.16
2020/10/13,1750.62,1750.62,1739,1735,22943.89,-11.61,-0.66,1701.282,1674.751,1693.457,29086.28,28128.84,30265.44,0.18
2020/10/12,1700,1750.61,1750.61,1700,43729.04,54.61,3.22,1685.682,1667.531,1692.682,29343.95,28078.85,30673.85,0.35
2020/10/9,1692,1706.42,1696,1688,34239.88,27.5,1.65,1662.582,1661.97,1693.651,25114.73,28426.09,30030.29,0.27
2020/9/30,1660,1691.9,1668.5,1660,27087.81,16.2,0.98,1649.246,1659.422,1698.501,24276.91,31370.09,29840.17,0.22
2020/9/29,1669.33,1669.4,1652.3,1652.3,17430.78,-8.7,-0.52,1645.542,1665.082,1704.826,26004.45,30912.9,30086.24,0.14
2020/9/28,1635.19,1668.5,1661,1635.19,24232.22,25.89,1.58,1648.22,1675.852,1712.31,27171.39,31251.91,30796.7,0.19
2020/9/25,1630,1650,1635.11,1625,22582.96,5.79,0.35,1649.38,1686.352,1718.585,26813.76,31934.29,31975.6,0.18
2020/9/24,1635.97,1658.88,1629.32,1626.8,30050.78,-20.66,-1.25,1661.358,1696.141,1724.68,31737.45,32784.8,32961.44,0.24
