date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020/10/30,167.52,171.5,168.06,164.5,85390.21,-0.26,-0.15,168.386,164.154,150.899,100681.82,106259.62,95688.51,0.68
2020/10/29,167.8,174.19,168.32,167.12,116790.31,-1.94,-1.14,167.458,162.686,148.746,98899.74,103279.44,94502.25,0.94
2020/10/28,167,175.29,170.26,166.94,104690.51,2.47,1.47,167.358,161.054,146.791,112651.58,99996.3,91541.66,0.84
2020/10/27,165,170.92,167.79,163.8,98635.72,0.29,0.17,164.958,159.308,144.783,109438.85,105342.11,88390.01,0.79
2020/10/26,161.01,170,167.5,158.18,97902.35,4.08,2.5,163.022,157.649,142.982,117705.19,115285.48,85381.39,0.78
2020/10/23,168.5,169.88,163.42,163,76479.79,-4.4,-2.62,159.922,154.774,141.286,111837.42,121209.06,83385.13,0.61
2020/10/22,160.5,173.98,167.82,160.45,185549.52,9.56,6.04,157.914,151.046,139.713,107659.14,117659.96,82734.78,1.49
2020/10/21,157,160.8,158.26,155.79,88626.86,0.15,0.1,154.75,146.763,138.081,87341.02,104439.21,76438.97,0.71
2020/10/20,152.37,160.8,158.11,152.05,139967.41,6.11,4.02,153.658,143.464,137.031,101245.37,98821.76,74009.85,1.12
2020/10/19,154.5,155.5,152,152,68563.53,-1.38,-0.9,152.276,140.258,135.958,112865.77,88506.13,69565.24,0.55
2020/10/16,152,155.06,153.38,151.15,55588.38,1.38,0.91,149.626,137.644,135.168,130580.7,85117.39,68562.72,0.45
2020/10/15,152.71,153.8,152,149.5,83958.94,-0.8,-0.52,144.178,134.806,134.19,127660.78,85725.07,68850.52,0.67
2020/10/14,149.5,157.5,152.8,148.88,158148.61,1.6,1.06,138.776,132.527,133.232,121537.4,83087.02,68132.46,1.27
2020/10/13,139.99,152.63,151.2,138.8,198069.38,12.45,8.97,133.27,130.257,132.442,96398.15,71437.91,66397.72,1.59
2020/10/12,126.29,138.75,138.75,126.24,157138.19,12.61,10,128.24,128.315,132.07,64146.48,55477.3,61414.99,1.26
2020/10/9,128.01,128.01,126.14,125.85,40988.8,1.15,0.92,125.662,127.798,132.373,39654.08,45561.21,60590.09,0.33
2020/9/30,125.69,126.98,124.99,124.22,53342.04,-0.28,-0.22,125.434,128.379,133.469,43789.35,47809.6,67517.81,0.43
2020/9/29,126.55,127.17,125.27,124.6,32452.34,-0.78,-0.62,126.278,129.398,134.128,44636.63,48438.73,68466.39,0.26
2020/9/28,127.5,128,126.05,126,36811.04,0.19,0.15,127.244,130.597,134.845,46477.67,49197.93,70885.58,0.29
2020/9/25,125.2,127.67,125.86,125.2,34676.2,0.86,0.69,128.39,131.657,135.597,46808.11,50624.36,77260.75,0.28
2020/9/24,128.93,129.74,125,125,61665.12,-4.21,-3.26,129.934,132.691,136.385,51468.33,52008.05,83537.7,0.49
2020/9/23,128.2,129.87,129.21,125.88,57578.47,-0.89,-0.68,131.324,133.573,136.737,51829.85,51975.98,85043.21,0.46
2020/9/22,130,132.5,130.1,129.17,41657.53,-1.68,-1.27,132.518,133.937,136.891,52240.83,53177.91,86424,0.33
2020/9/21,133.88,133.98,131.78,131.3,38463.22,-1.8,-1.35,133.95,134.627,137.196,51918.19,61357.53,89987.46,0.31
2020/9/18,131.18,133.58,133.58,130.95,57977.32,1.63,1.24,134.924,135.824,137.205,54440.62,67352.69,90452.53,0.46
2020/9/17,134,134,131.95,130.75,63472.7,-3.23,-2.39,135.448,136.947,137.021,52547.77,75618.97,89621,0.51
2020/9/16,136.63,138.5,135.18,134.18,59633.4,-2.08,-1.51,135.822,138.558,136.799,52122.11,87226.01,89324.85,0.48
2020/9/15,136.5,137.98,137.26,135.51,40044.32,0.61,0.45,135.356,138.858,136.57,54114.98,88494.05,89941.35,0.32
2020/9/14,137.5,138.2,136.65,135.1,51075.36,0.45,0.33,135.304,139.092,136.252,70796.87,92573.23,90724.05,0.41
2020/9/11,133,136.53,136.2,132.5,48513.08,2.38,1.78,136.724,139.536,136.022,80264.75,103897.14,91770.81,0.39
2020/9/10,134.49,137.5,133.82,133.43,61344.4,0.97,0.73,138.446,140.079,135.753,98690.18,115067.34,91670.32,0.49
2020/9/9,134.5,135.89,132.85,132,69597.76,-4.15,-3.03,141.294,139.901,135.473,122329.91,118110.45,89929.37,0.56
2020/9/8,144,145.29,137,136,123453.77,-6.75,-4.7,142.36,139.845,135.2,122873.11,119670.1,88769.63,0.99
2020/9/7,144.5,148.57,143.75,141.5,98414.75,-1.06,-0.73,142.88,139.764,134.853,114349.59,118617.39,84744.65,0.79
2020/9/4,144.88,146.15,144.81,139.51,140640.2,-3.25,-2.19,142.348,138.585,134.182,127529.54,113552.38,82188.48,1.13
2020/9/3,138.18,149.66,148.06,138.18,179543.08,9.88,7.15,141.712,137.094,133.506,131444.5,103623.03,78098.05,1.44
2020/9/2,140,141.5,138.18,136.1,72313.73,-1.42,-1.02,138.508,135.04,132.662,113890.98,91423.69,72294.82,0.58
2020/9/1,141.01,142.9,139.6,137.18,80836.19,-1.49,-1.06,137.33,134.281,132.443,116467.09,91388.65,71493.79,0.65
2020/8/31,140.5,145.6,141.09,138,164314.48,-0.54,-0.38,136.648,133.411,132.194,122885.19,88874.87,70476.88,1.32
2020/8/28,131.78,143.99,141.63,130.01,160215.03,9.59,7.26,134.822,132.507,131.853,99575.22,79644.47,65505.92,1.28
2020/8/27,132.36,133.86,132.04,128.51,91775.49,-0.25,-0.19,132.476,131.427,131.524,75801.56,68273.31,62598.46,0.73
2020/8/26,136,137.68,132.29,132,85194.27,-3.9,-2.86,131.572,131.045,131.753,68956.4,61748.29,62436.86,0.68
2020/8/25,132.05,138.97,136.19,132.05,112926.66,4.23,3.21,131.232,130.555,131.898,66310.21,57869.15,61801.37,0.9
2020/8/24,131.9,134.17,131.96,131.06,47764.67,2.06,1.59,130.174,129.941,131.866,54864.55,50871.91,60202.67,0.38
2020/8/21,129.1,131.45,129.9,128.5,41346.71,2.38,1.87,130.192,129.779,131.993,59713.72,50824.58,62001.2,0.33
